"Taxpayer.Number","Taxpayer.Name","Taxpayer.Address","Taxpayer.City","Taxpayer.State","Taxpayer.Zip","Taxpayer.County","Location.Number","Location.Name","Location.Address","Location.City","Location.State","Location.Zip","Location.County","Inside.Outside.City.Limits","TABC.Permit.Number","Responsibility.Begin.Date","Responsibility.End.Date","Obligation.End.Date","Liquor.Receipts","Wine.Receipts","Beer.Receipts","Cover.Charge.Receipts","Total.Receipts"
17425867797,"THE PLATEAU RESTAURANT, INC.","312 W MAIN ST","FREDERICKSBRG","TX",78624,86,1,"HONDO'S ON MAIN","312 W MAIN ST","FREDERICKSBURG","TX",78624,86,"Y","MB221054","11/30/1993","","07/31/2010",18167,2514,23151,0,43832
32041004063,"BOKA EDIBLES, LLC","1515 E LANE ST","LAREDO","TX",78040,240,1,"BOKA EDIBLES, LLC","7220 BOB BULLOCK LOOP BLDG C","LAREDO","TX",78041,240,"Y","MB782682","08/16/2011","","02/29/2016",33864,5640,19655,0,59159
17419388958,"NINO'S RESTAURANT AND BAR, INC.","11214 WILDING LN","HOUSTON","TX",77024,101,3,"GRAPPINO DE NINO","1011 LA RUE ST STE C","HOUSTON","TX",77019,101,"Y","MB405168","12/09/1996","08/26/2022","01/31/2022",2992,5581,629,0,9202
32046854041,"DAVID2M, LLC","2034 STATE HIGHWAY 361","PORT ARANSAS","TX",78373,178,1,"GIGGITY'S","722 TARPON ST","PORT ARANSAS","TX",78373,178,"Y","MB806854","05/11/2012","01/21/2021","10/31/2017",36116,3724,27101,0,66941
32065203591,"YUKI LLC","14113 TRINITY BLVD STE 201","FORT WORTH","TX",76155,220,2,"SPICY GRILL & BAR","14113 TRINITY BLVD STE 201","FORT WORTH","TX",76155,220,"Y","MB1066921","09/20/2019","04/13/2021","09/30/2019",0,0,0,0,0
17605419963,"MIMO INC.","22722 BRIDGEHAVEN DR","KATY","TX",77494,79,1,"SIMPOSIO","5591 RICHMOND AVE","HOUSTON","TX",77056,101,"Y","MB613963","09/22/1997","09/30/2007","03/31/2007",4543,15041,592,0,20176
12051430630,"HOTEL BEVERAGE SERVICES, INC.","5847 SAN FELIPE ST STE 4600","HOUSTON","TX",77057,101,4,"EMILY'S OASIS","705 E HOUSTON ST","SAN ANTONIO","TX",78205,15,"Y","MB231341","12/04/2015","","03/31/2023",21988,4635,6700,0,33323
32068304735,"BIG Z'S PIZZA HOUSE & BREW, LLC","3319 BELMONT RIVER LN","KATY","TX",77494,79,1,"BIG Z'S PIZZA HOUSE & BREW","2004 S MASON RD STE A1","KATY","TX",77450,101,"Y","MB106182165","04/22/2019","","11/30/2019",617,1234,4318,0,6169
17528885928,"NODAK RESTAURANT GROUP, LTD.","5805 WILLOW LN","DALLAS","TX",75230,57,5,"TEXADELPHIA","7601 N MACARTHUR BLVD STE 105","IRVING","TX",75063,57,"Y","MB509216","02/06/2002","10/17/2018","01/31/2013",70,0,539,0,609
12009705687,"ROCKI'S, INC.","602 SAWYER ST STE 110","HOUSTON","TX",77007,101,2,"1308 CANTINA","1308 MONTROSE BLVD","HOUSTON","TX",77019,101,"Y","MB665053","07/09/2007","01/15/2019","03/31/2014",108985,5680,15326,0,129991
17515633059,"O.P.E.P., INC.","301 S OCHOA ST","EL PASO","TX",79901,71,2,"SAN ANTONIO MINING COMPANY","800 E SAN ANTONIO AVE","EL PASO","TX",79901,71,"Y","MB208206","12/01/1993","11/29/2012","03/31/2010",48998,168,31465,0,80631
32043380206,"TIN BARN ENTERTAINMENT, LLC","16624 BARNES CT","HARLINGEN","TX",78552,31,1,"CADILLACS","6779 W EXPRESSWAY 83","HARLINGEN","TX",78552,31,"Y","MB769027","03/01/2011","02/28/2013","03/31/2012",12391,95,17018,0,29504
17528477205,"SPRING CREEK BARBEQUE #2, LTD.","2340 W INTERSTATE 20 STE 100","ARLINGTON","TX",76017,220,10,"SPRING CREEK BARBEQUE","660 S MAIN ST","KELLER","TX",76248,220,"Y","MB606928","09/02/2005","08/05/2015","02/29/2012",0,0,1220,0,1220
12057929106,"CHUY'S BEVCO, LLC","1623 TOOMEY RD","AUSTIN","TX",78704,227,16,"CHUY'S","4001 BAGPIPER WAY STE 199","ARLINGTON","TX",76018,220,"Y","MB720260","04/23/2009","02/03/2014","02/29/2012",44828,693,12650,0,58171
32050065021,"AZEEZ LLC","9903 S HIGHWAY 6 STE 100","SUGAR LAND","TX",77498,79,1,"SKYPEAK BAR & BILLIARDS","9903 S HIGHWAY 6 STE 100","SUGAR LAND","TX",77498,79,"Y","MB840679","05/16/2013","","06/30/2016",17102,0,9321,0,26423
32054243442,"RIO MAMBO BALLPARK, L.P.","7714 SWEETGUM DR","IRVING","TX",75063,57,1,"RIO MAMBO BALLPARK","2150 E LAMAR BLVD","ARLINGTON","TX",76006,220,"Y","MB880545","08/08/2014","07/10/2020","05/31/2020",0,0,0,0,0
14121224324,"CHILI'S - DECATUR CLUB, INC.","6820 LYNDON B JOHNSON FWY","DALLAS","TX",75240,57,2,"CHILI'S GRILL & BAR","600 S HIGHWAY 287","DECATUR","TX",76234,249,"Y","N 602203","08/18/2005","05/16/2017","02/28/2014",21634,815,18823,0,41272
32007004222,"BERNARD WISHNOW","6810 OAKWOOD HOLLOW CT","HOUSTON","TX",77040,101,4,"WISH'S CLUB & RESTAURANT","14918 NORTHWEST FREEWAY","HOUSTON","TX",77040,101,"Y","MB113723","12/01/1993","08/09/2012","06/30/2008",35352,1245,9076,0,45673
32034815053,"CARLOS ALBERTO TORRES","2981 ASH FIELD DR","SAN ANTONIO","TX",78245,15,1,"EMMY'S MEXICAN RESTAURANT","1540 N STATE HIGHWAY 46","SEGUIN","TX",78155,94,"Y","MB690351","04/16/2008","05/07/2009","05/31/2009",0,0,0,0,0
12620327762,"G.H.A., INC.","2732 W T C JESTER BLVD","HOUSTON","TX",77018,101,1,"G H A INC","2732 W T C JESTER BLVD","HOUSTON","TX",77018,101,"Y","MB695085","06/09/2008","06/07/2018","11/30/2009",10226,433,11311,1000,22970
32044361890,"HAT CREEK BEVERAGE COMPANY LLC","4407 BEE CAVES RD STE 212","W LAKE HILLS","TX",78746,227,1,"HAT CREEK BURGER COMPANY","5902 BEE CAVE RD","AUSTIN","TX",78746,227,"Y","MB1071473","11/01/2019","","03/31/2023",1852,2022,4333,0,8207
32071189719,"KOBAMS GROUP INC","11920 WESTHEIMER RD STE J","HOUSTON","TX",77077,101,1,"KOBAMS CAFE & GRILL","11920 WESTHEIMER RD STE J","HOUSTON","TX",77077,101,"Y","MB1090278","06/03/2020","07/03/2022","06/30/2022",0,0,0,0,0
32040313572,"GRINGO'S MEXICAN KITCHEN #10 LLC","2601 UNDERWOOD RD","LA PORTE","TX",77571,101,1,"GRINGO'S MEXICAN KITCHEN #10","27030 NORTHWEST FWY","CYPRESS","TX",77433,101,"Y","MB774102","05/04/2011","","02/29/2012",20242,2144,78858,0,101244
17605431232,"WOW FOOD CONCEPTS, L.L.C.","9 ESTATES OF MONTCLAIRE","BEAUMONT","TX",77706,123,1,"CHEDDAR'S BEAUMONT","3815 IH 10 S","BEAUMONT","TX",77705,123,"Y","MB429386","04/21/1998","10/21/2019","07/31/2019",25208,1695,6140,0,33043
17427749563,"SAN MARCOS RIVER PUB AND GRILL, INC.","1801 S INTERSTATE 35","SAN MARCOS","TX",78666,105,1,"IVAR'S RIVER PUB","701 CHEATHAM ST","SAN MARCOS","TX",78666,105,"Y","MB991951","04/16/1996","08/18/2017","04/30/2013",0,0,0,0,0
16805711401,"SHOOTERS BILLIARDS & SPORTS BAR, LLC","601 E WHITESTONE BLVD STE 532","CEDAR PARK","TX",78613,246,1,"SHOOTERS BILLIARDS & SPORTS BAR L L C","601 E WHITESTONE BLVD BLDG 5","CEDAR PARK","TX",78613,246,"Y","MB550272","01/13/2004","","09/30/2012",45346,511,43033,0,88890
32041077622,"APLIN NEW HORIZON, INC.","9603 STONECROSS BEND DR","HOUSTON","TX",77070,101,1,"BLUEWATER SEAFOOD","12914 FM 1960 RD W STE I","HOUSTON","TX",77065,101,"Y","MB744251","03/17/2010","","04/30/2020",2626,96,813,0,3535
17531075400,"CAMARENA VENTURES, INC.","211 I 35 HWY NW","HILLSBORO","TX",76645,109,1,"EL TACO JALISCO #2","211 I H 35 NORTH","HILLSBORO","TX",76645,109,"Y","MB105738301","07/12/2018","","03/31/2019",7589,0,7825,0,15414
32040935978,"SUPER KNS, INC","11445 EMERALD ST STE 112","DALLAS","TX",75229,57,1,"KOTTA SUSHI LOUNGE","6959 LEBANON RD STE 108","FRISCO","TX",75034,43,"Y","RM751704","07/01/2010","","01/31/2021",12182,19539,2728,0,34449
17411976388,"STEPHEN F. AUSTIN GOLF ASSOCIATION","PO BOX 227","SAN FELIPE","TX",77473,8,2,"CLUB SAN FELIPE","1130 PARK RD 38","SAN FELIPE","TX",77473,8,"Y","MB728225","08/03/2009","08/02/2017","07/31/2017",0,0,0,0,0
12628870433,"FLOYD'S RESTAURANT OF PEARLAND, INC.","20760 GULF FWY","WEBSTER","TX",77598,101,1,"FLOYD'S CAJUN SEAFOOD & TEXAS STEAKHOUSE","1300 BROADWAY ST","PEARLAND","TX",77581,20,"Y","RM705824","10/14/2008","","11/30/2008",0,0,0,0,0
32058388185,"75ANDSUNNY HOSPITALITY, INC.","PO BOX 459","FULTON","TX",78358,4,1,"75ANDSUNNY HOSPITALITY, INC.","2950 HIGHWAY 35 N","ROCKPORT","TX",78382,4,"Y","MB104988835","10/11/2016","","07/31/2019",6472,0,0,0,6472
12011791998,"GRANADA VENDING MANAGEMENT, INC.","1116 BALLY MOTE DR","DALLAS","TX",75218,57,1,"GRANADA","3524 GREENVILLE AVE","DALLAS","TX",75206,57,"Y","MB563153","09/07/2004","","12/31/2013",35258,37578,1631,0,74467
12008959731,"304 LICENSING SERVICES, INC.","700 N GRANT AVE STE 600","ODESSA","TX",79761,68,4,"304 LICENSING","4250 RIDGEMONT DR","ABILENE","TX",79606,221,"Y","MB607243","07/05/2005","","05/31/2023",6217,358,3268,0,9843
32033417836,"FISH SPOT LAMARQUE INC.","925 TEXAS AVE","LA MARQUE","TX",77568,84,1,"THE FISH PLACE","925 TEXAS AVE","LA MARQUE","TX",77568,84,"Y","MB898617","02/19/2015","","01/31/2019",3276,390,2715,0,6381
13645118913,"219 LIMITED PARTNERSHIP","612 W 6TH ST","AUSTIN","TX",78701,227,3,"219 WEST","612 W 6TH ST","AUSTIN","TX",78701,227,"Y","MB536732","11/17/2011","07/24/2015","10/31/2014",70139,11853,19249,0,101241
32053687755,"PALO PINTO PUB CLUB","4801 E INTERSTATE 20 SERVICE RD N","WILLOW PARK","TX",76087,184,1,"PALO PINTO PUB CLUB","606 CEDAR ST STE B","PALO PINTO","TX",76484,182,"N","N 896839","02/02/2015","03/01/2017","03/31/2017",0,0,0,0,0
32044338112,"GREG JIM & JERRY INC","10907 MAUNA KEA ST","SAN ANTONIO","TX",78213,15,2,"LAS PALAPAS AT TEZEL","5525 TEZEL RD","SAN ANTONIO","TX",78250,15,"Y","MB1118158","05/10/2021","","12/31/2019",0,0,0,0,0
32025247175,"SHOWBIZ CINEMAS, LLC","500 W 2ND ST STE 1900","AUSTIN","TX",78701,227,6,"SHOWBIZ CINEMAS (BAYTOWN)","10550 INTERSTATE 10 E","BAYTOWN","TX",77523,36,"Y","MB937021","03/07/2016","","09/30/2020",3923,100,2968,0,6991
32010594094,"ANGEL PEREZ","648 PRICE DR","LEWISVILLE","TX",75067,61,2,"TAQUERIA GUADALAJARA","701 S STEMMONS FWY STE 170","LEWISVILLE","TX",75067,61,"Y","RM730870","09/09/2009","10/24/2022","05/31/2017",0,0,299,0,299
32040967443,"SPORTS FIVE INC","5850 SAN FELIPE ST STE 140","HOUSTON","TX",77057,101,1,"KINGDOM","103 E 5TH ST STE B","AUSTIN","TX",78701,227,"Y","MB907287","05/10/2011","05/09/2015","05/31/2012",32334,458,10500,0,43292
32007432530,"DAGOBERTO QUINTANILLA","507 E 29TH ST","MISSION","TX",78574,108,3,"EL TORO CLUB II","2203 S 23RD ST","MCALLEN","TX",78503,108,"Y","MB468062","03/16/2000","01/20/2023","04/30/2008",4314,0,20657,0,24971
32044527987,"TWO AMIGOS RESTAURANT LLC.","2308 LUTCHER DR","ORANGE","TX",77632,181,2,"TWO AMIGOS RESTAURANT","2308 LUTCHER DR","ORANGE","TX",77632,181,"Y","MB783624","09/12/2016","","08/31/2023",16092,196,2310,0,18598
32070151579,"ROYAL HAZE PRIVATE CLUB","3 CIRCLE WAY ST STE C","LAKE JACKSON","TX",77566,20,2,"ROYAL HAZE","3 CIRCLE WAY ST","LAKE JACKSON","TX",77566,20,"Y","N 200034420","10/08/2021","","02/28/2022",12305,18,3857,0,16180
39000154474,"DANIEL MARTINEZ","605 S 10TH ST STE A","MCALLEN","TX",78501,108,1,"3911 RETRO LOUNGE","3911 N 10TH ST","MCALLEN","TX",78501,108,"Y","MB899424","02/27/2015","05/08/2018","09/30/2017",5187,0,7940,0,13127
17522796113,"MAMARITA'S BORDER CAFE, INC.","6602 SLIDE RD UNIT 1","LUBBOCK","TX",79424,152,1,"MAMARITA'S BORDER CAFE","6602 SLIDE RD","LUBBOCK","TX",79424,152,"Y","MB207228","12/01/1993","","06/30/2009",15965,329,21915,0,38209
32072554614,"EL FENIX LICENSE SUB, LLC","1845 WOODALL RODGERS FWY STE 1100","DALLAS","TX",75201,57,2,"EL FENIX LEMMON","5622 LEMMON AVE","DALLAS","TX",75209,57,"Y","MB061974","01/16/2020","","06/30/2021",0,0,0,0,0
32069661141,"321 FIREHOUSE GP LLC","1502 CANTERBURY CT","GRAND PRAIRIE","TX",75050,57,1,"FHGP","321 W MAIN ST","GRAND PRAIRIE","TX",75050,57,"Y","MB106146638","04/08/2019","","06/30/2022",34182,12074,22865,0,69121
13004439074,"AUSTIN TAPAS, L.P.","120 PRECISION","BUDA","TX",78610,105,2,"MALAGA TAPAS & BAR","440 W 2ND ST","AUSTIN","TX",78701,227,"Y","MB698944","07/24/2008","11/30/2016","07/31/2016",4068,22978,1672,0,28718
17529131884,"KOBE CORPORATION II, INC.","4021 PRESTON RD STE 618","PLANO","TX",75093,43,1,"JAPON STEAK & SUSHI BAR","4021 PRESTON RD STE 618","PLANO","TX",75093,43,"Y","RM709163","12/03/2008","06/09/2016","01/31/2015",4050,10117,3047,0,17214
32047684371,"5050 SPIRITS LLC","6203 RICHARDSON LN","AUSTIN","TX",78741,227,1,"LOBLOLLY SPIRITS","114 FEALY RD","RED ROCK","TX",78662,11,"N","D 858175","11/25/2013","","10/31/2016",0,0,0,0,0
32066532691,"LIGHT UP THE SKY LLC","3210 W DALLAS ST","HOUSTON","TX",77019,101,1,"SPORTING CLUB HOUSTON","5102 WASHINGTON AVE","HOUSTON","TX",77007,101,"Y","MB105786655","06/21/2019","","10/31/2021",350900,72705,34531,0,458136
12007150803,"APPLEBEE'S OF TYLER, INC.","3900 ESSEX LN STE 740","HOUSTON","TX",77027,101,1,"APPLEBEE'S NEIGHBORHOOD GRILL & BAR","5502 S BROADWAY AVE","TYLER","TX",75703,212,"Y","N 237189","06/01/2004","07/14/2009","05/31/2008",28861,2858,24359,0,56078
12703864210,"SCOOTERS & SHOOTERS PRIVATE CLUB","525 E STATE HIGHWAY 29","BERTRAM","TX",78605,27,1,"SCOOTERS & SHOOTERS PRIVATE CLUB","525 E STATE HIGHWAY 29","BERTRAM","TX",78605,27,"Y","N 769976","03/11/2011","07/31/2018","03/31/2014",5531,453,7537,0,13521
17429917838,"MON'S THAI CUISINE, LLC","4901 BROADWAY STE 110","ALAMO HEIGHTS","TX",78209,15,5,"SPICE ASIAN BISTRO","434 N LOOP 1604 W # 2101","SAN ANTONIO","TX",78232,15,"Y","MB633721","07/17/2006","10/21/2011","10/31/2007",823,1419,1027,0,3269
32056639076,"PROFITEAGLE LLC","12731 BRIAR HARBOR DR","TOMBALL","TX",77377,101,2,"SANTA FE FLATS","21542 STATE HIGHWAY 249 STE 5","HOUSTON","TX",77070,101,"Y","MB995157","09/22/2017","05/14/2018","09/30/2017",4462,296,1513,0,6271
17416255457,"AUSTIN ASSOCIATION OF THE DEAF","PO BOX 3884","AUSTIN","TX",78764,227,1,"AUSTIN ASSOCIATION OF THE DEAF","8818 CULLEN LN","AUSTIN","TX",78748,227,"Y","NE201144","12/01/1993","","07/31/2019",233,40,246,0,519
17426707893,"ANGIE'S MEXICAN RESTAURANT, INC.","1307 E 7TH ST","AUSTIN","TX",78702,227,1,"ANGIE'S MEXICAN RESTAURANT INC","900 E 7TH ST","AUSTIN","TX",78702,227,"Y","MB673236","10/05/2007","10/31/2017","03/31/2016",4522,0,1501,0,6023
17527287688,"BBQ FTW, LTD.","8041 WALNUT HILL LN STE 820","DALLAS","TX",75231,57,1,"RED HOT & BLUE","3000 S HULEN ST","FORT WORTH","TX",76109,220,"Y","MB435128","08/14/1998","05/17/2013","04/30/2009",2313,466,2853,0,5632
32034255383,"BC ENTERTAINMENT, LLC","5980 SILVER SPRINGS DR","EL PASO","TX",79912,71,2,"FIESTA LANES","5850 ONIX DR","EL PASO","TX",79912,71,"Y","MB704902","09/30/2008","04/11/2017","05/31/2015",8245,117,19594,0,27956
32001887689,"DOS CHARROS TEX-MEX RESTAURANT","1104 W PARKER RD STE 600","PLANO","TX",75075,43,1,"TIA JUANITA'S COCINA 2","1104 W PARKER RD STE 600","PLANO","TX",75075,43,"Y","N 466942","03/06/2000","06/01/2013","08/31/2012",690,260,380,0,1330
32064807822,"ARROSE INVESTMENTS LLC","1001 E HARWOOD RD STE 88","EULESS","TX",76039,220,1,"CHIHIRO SUSHI AND BAR","1001 E HARWOOD RD STE 88","EULESS","TX",76039,220,"Y","MB105669634","05/04/2018","","03/31/2022",4142,2158,2042,0,8342
17109103048,"GROUP L & M MANAGEMENT, INC.","3091 COLLEGE PARK DR STE 170","THE WOODLANDS","TX",77384,170,1,"RED PHOENIX HUNAN RESTAURANT","3091 COLLEGE PARK DR STE 170","THE WOODLANDS","TX",77384,170,"N","MB559153","06/18/2004","","04/30/2010",650,1264,503,0,2417
32038825066,"LOS RAMIREZ MEXICAN RESTAURANT  OF CLEARLAKE INC.","463 BAY AREA BLVD","HOUSTON","TX",77058,101,1,"LOS RAMIREZ MEXICAN RESTAURANT","463 BAY AREA BLVD","HOUSTON","TX",77058,101,"Y","MB530332","12/04/2018","","08/31/2023",32615,337,7437,0,40389
17523783185,"COWBOYS CONCERT HALL-ARLINGTON, INC.","PO BOX 59897","DALLAS","TX",75229,57,2,"COWBOYS","3030 LOOP 410 NORTHEAST","SAN ANTONIO","TX",78218,15,"Y","MB547115","01/07/2004","","03/31/2019",152597,219,185795,0,338611
32046696129,"GUDER, LLC","2727 KIRBY DR APT 21E","HOUSTON","TX",77098,101,1,"LUCY ETHIOPIAN RESTAURANT & BAR","6800 SOUTHWEST FWY STE D","HOUSTON","TX",77074,101,"Y","MB808261","05/24/2012","","05/31/2016",1965,2171,2440,0,6576
10438057514,"ENTERTAINMENT VENUES, INC.","302 N MAIN ST","CONROE","TX",77301,170,1,"THE CORNER PUB","302 N MAIN ST","CONROE","TX",77301,170,"Y","MB603893","08/08/2005","","06/30/2016",9484,625,7963,0,18072
32008681622,"KIMBERLY ANN BINYON","9346 LANDERS RD","SAN ANGELO","TX",76905,226,2,"KIMBO'S SALOON","78 E AVENUE K","SAN ANGELO","TX",76903,226,"Y","MB521606","08/21/2002","","09/30/2013",6887,0,14756,0,21643
32008812441,"BENITA M TORRES","1301 N COUNTY RD W","ODESSA","TX",79763,68,4,"MI CASA RESTAURANT","1301 N COUNTY RD W","ODESSA","TX",79763,68,"Y","MB653100","03/01/2007","01/31/2023","08/31/2021",143,0,2991,0,3134
32062023208,"FARACE BEVERAGES FCS, LLC","5822 CAMP CREEK DR","NEW BRAUNFELS","TX",78132,46,2,"JOHN T FLOORE COUNTRY STORE","14492 OLD BANDERA RD","HELOTES","TX",78023,15,"Y","MB973053","02/15/2017","02/09/2023","12/31/2017",38835,1258,50668,0,90761
32055882883,"LEGACY TRMP, LLC","7307 REMCON CIR STE S104","EL PASO","TX",79912,71,1,"WING DADDY'S SAUCE HOUSE","2763 E ELDORADO PKWY STE 105","LITTLE ELM","TX",75068,61,"Y","RM912220","06/25/2015","","11/30/2016",18836,146,20898,0,39880
12039965988,"CREATE WORLDS YANEZ, INC.","2807 BROADWAY ST","HOUSTON","TX",77017,101,1,"OSTIONERIA VILLA DEL SOL","2807 BROADWAY ST","HOUSTON","TX",77017,101,"Y","MB629435","05/31/2006","","10/31/2010",1801,0,6603,0,8404
17515647778,"SMITH & FITZPATRICK, INCORPORATED","3715 24TH ST","LUBBOCK","TX",79410,152,5,"COPPER CABOOSE","5609 VILLA DRIVE","LUBBOCK","TX",79412,152,"Y","MB254909","07/01/2001","","05/31/2013",22098,18,42230,0,64346
32044991209,"ACECA LLC","PO BOX 131436","HOUSTON","TX",77219,101,2,"CUCHARITA","315 FAIRVIEW AVE","HOUSTON","TX",77006,101,"Y","MB200042355","01/21/2022","","12/31/2022",4256,1212,244,0,5712
17527254266,"MAGNOLIA HOSPITALITY GROUP, LTD.","15303 DALLAS PKWY STE 1040","ADDISON","TX",75001,57,1,"HILTON GARDEN INN","4090 BELT LINE RD","ADDISON","TX",75001,57,"Y","MB635072","08/02/2006","08/01/2007","07/31/2007",0,272,362,0,634
